cif_id,target
Dy1Rh2_ICSD_103361,2.456833483
Ba1Pt1_ICSD_55492,2.191529259
B2Ru3Tb1_ICSD_615370,2.597904606
Au2In1U1_ICSD_58512,2.116813553
Ca3Co4Sn13_ICSD_619211,2.318799758
Al1Pt1_ICSD_58129,2.51167485
Mo3N1Pt2_ICSD_150314,2.618955504
Al1Li1Si1_ICSD_152086,2.824756958
Ag1S3Ta1_ICSD_74442,2.433010956
Al16Pt7Zr6_ICSD_609168,2.611846465
Dy1Li1O2_ICSD_422562,2.633327034
Al1Au1Er1_ICSD_602607,2.374104674
Ca1Si2_ICSD_1453,2.670600197
F4Pd1Sr1_ICSD_108990,2.470962931
C1Pb1Ti2_ICSD_42926,2.579128232
La3O7Ta1_ICSD_168909,2.622756811
B4Rh4Tb1_ICSD_615322,2.640396955
C1Ga1Ta2_ICSD_617926,2.5950584
Ga1Ho1O3_ICSD_420711,2.66596915
Al3C3Sc1_ICSD_43477,2.970093386
Er4Ge6Rh7_ICSD_630644,2.538714455
Ru3Zr1_ICSD_185641,2.505487782
Dy2Se3_ICSD_419,2.381953966
Ir2Lu1_ICSD_104491,2.456648385
Be2C1_ICSD_183009,3.223874777
Al2Ho3_ICSD_184632,2.38352993
P1Ru1Zr1_ICSD_648037,2.644091803
As12Os4Th1_ICSD_611145,2.574231576
Eu1O3Ti1_ICSD_187101,2.752187554
Al2Y1_ICSD_186476,2.674820739
Er3P6Pd20_ICSD_409903,2.386921461
I1Rb1_ICSD_44619,2.041009547
C1Zr1_ICSD_183162,2.490747644
K1Na1S1_ICSD_62658,2.48756256
Yb3Zn11_ICSD_653480,2.349652394
B4Fe1_ICSD_425311,3.023626903
Cl5Cs1Pb2_ICSD_249888,2.128079246
Ba1Pt2_ICSD_58675,2.282447635
Ca1F6Sn1_ICSD_35713,2.535740846
P1Pt5Tl1_ICSD_647975,2.337463255
Ca1In2_ICSD_414232,2.393610296
Cu1Ti3_ICSD_103130,2.567837703
C1Nb1_ICSD_183164,2.678274304
B1Li2Pd3_ICSD_156465,2.453532376
Ba1F4Pd1_ICSD_108991,2.362949693
Br1Cu1_ICSD_30091,2.196184478
Ga3Hf3Nb2_ICSD_103733,2.546273614
Al3La1Pd2_ICSD_105500,2.53486848
Ag1In2Na3_ICSD_170868,2.212142308
S1Zn1_ICSD_15478,2.5525648
Ni1Zn1_ICSD_105470,2.575454577
As1Ti3_ICSD_611501,2.586811145
O3Tb2_ICSD_27995,2.564909769
Al3Zr4_ICSD_150529,2.668622571
O1Sr1_ICSD_105548,2.624266622
B4H16Hf1_ICSD_35379,2.428175305
K1Sb1Zn1_ICSD_12161,2.3389841
Be13U1_ICSD_107528,2.933481214
Ca1Ir2_ICSD_108146,2.457813796
Pt1Se1Si1_ICSD_649595,2.534216544
B2C2Er1_ICSD_94042,2.800855178
Mg1Sc1_ICSD_108583,2.595802545
Mn2Si2Y1_ICSD_643695,2.656085739
Sn2Tb1_ICSD_168671,2.354436918
In1Ni2Ti1_ICSD_54596,2.531716437
Na1Nb1S2_ICSD_26285,2.634756298
O7P2Ti1_ICSD_189807,2.828325348
Ag1Er1Se2_ICSD_15302,2.293515028
Ru2Si2Th1_ICSD_603984,2.612903536
Ge1Ir1Y1_ICSD_636761,2.404135549
Al1Cu2Zr1_ICSD_185282,2.558146744
Ge3La1Rh1_ICSD_161872,2.471375334
Ag1Al1O2_ICSD_160643,2.547319257
Mn1Pd2Sn1_ICSD_104945,2.384417935
Pt9Sc5Si7_ICSD_420356,2.527170878
Au1Ti1_ICSD_612415,2.419347641
Ge1O6Se2_ICSD_422884,2.582388394
Ge1Ru1Tb1_ICSD_85912,2.379950587
F1Ho1S1_ICSD_94475,2.555008549
B1N1_ICSD_186248,2.961076845
Ho1Te2_ICSD_639765,2.241205186
In1Pt2Tb1_ICSD_640312,2.302571175
