cif_id,target
Ba1Pt1_ICSD_55492,0.182391824
B2Ru3Tb1_ICSD_615370,0.917332703
Au2In1U1_ICSD_58512,-0.17467906
Ca3Co4Sn13_ICSD_619211,-0.37462066
Al1Pt1_ICSD_58129,0.66988379
Mo3N1Pt2_ICSD_150314,0.68669167
Ag2Er1In1_ICSD_58254,-0.04234196
Al1Li1Si1_ICSD_152086,1.241122937
Ag1S3Ta1_ICSD_74442,0.545790634
Al16Pt7Zr6_ICSD_609168,0.532523798
Al1Au1Er1_ICSD_602607,0.31066358
Ca1Si2_ICSD_1453,0.745795934
F4Pd1Sr1_ICSD_108990,0.139576863
C1Pb1Ti2_ICSD_42926,0.964770486
La3O7Ta1_ICSD_168909,0.844715072
B4Rh4Tb1_ICSD_615322,0.667383834
C1Ga1Ta2_ICSD_617926,1.127810763
Ga1Ho1O3_ICSD_420711,0.631947786
Al3C3Sc1_ICSD_43477,1.308058331
Ru3Zr1_ICSD_185641,1.025219817
Dy2Se3_ICSD_419,0.305396517
Ir2Lu1_ICSD_104491,0.83986566
Be2C1_ICSD_183009,2.111013698
Al2Ho3_ICSD_184632,0.361550305
Dy1Ge1_ICSD_42956,0.879681237
P1Ru1Zr1_ICSD_648037,0.921471616
As12Os4Th1_ICSD_611145,0.689075219
Eu1O3Ti1_ICSD_187101,1.171688433
Al2Y1_ICSD_186476,1.069853021
Er3P6Pd20_ICSD_409903,-0.189727147
I1Rb1_ICSD_44619,-0.262923503
C1Zr1_ICSD_183162,0.968069004
B4Fe1_ICSD_425311,1.144670707
Cl5Cs1Pb2_ICSD_249888,-0.190720479
Ba1Pt2_ICSD_58675,0.221051522
Ca1F6Sn1_ICSD_35713,0.465659403
P1Pt5Tl1_ICSD_647975,0.279155709
Cu1Ti3_ICSD_103130,0.789347287
C1Nb1_ICSD_183164,1.429233723
B1Li2Pd3_ICSD_156465,-0.135847419
Ba1F4Pd1_ICSD_108991,-0.060718426
Er2In1Ni2_ICSD_630690,0.365055347
Ga3Hf3Nb2_ICSD_103733,0.788677343
Ca2Ge2Ni3_ICSD_421074,0.543607448
Ag1In2Na3_ICSD_170868,-0.626554658
S1Zn1_ICSD_15478,0.36599312
Ni1Zn1_ICSD_105470,0.810129647
As1Ti3_ICSD_611501,0.62940756
O3Tb2_ICSD_27995,0.312758989
N1Nb3Zn3_ICSD_42939,0.702021901
Al3Zr4_ICSD_150529,1.182876665
O1Sr1_ICSD_105548,1.126339247
Cd1N1_ICSD_183198,0.126650821
B4H16Hf1_ICSD_35379,1.119734142
K1Sb1Zn1_ICSD_12161,0.246082306
Be13U1_ICSD_107528,1.080417225
Pt1Se1Si1_ICSD_649595,0.604636386
B2C2Er1_ICSD_94042,1.309263843
Mg1Sc1_ICSD_108583,1.108713822
Ge2Ir2Th1_ICSD_636745,0.595985354
Mn2Si2Y1_ICSD_643695,0.911905656
Sn2Tb1_ICSD_168671,0.524637546
In1Ni2Ti1_ICSD_54596,0.95533026
Na1Nb1S2_ICSD_26285,0.914252692
O7P2Ti1_ICSD_189807,0.733373035
Ag1Er1Se2_ICSD_15302,0.075357144
Ru2Si2Th1_ICSD_603984,1.208169838
Ge1Ir1Y1_ICSD_636761,0.367931492
Al1Cu2Zr1_ICSD_185282,0.810585323
Ge3La1Rh1_ICSD_161872,0.68355582
Ag1Al1O2_ICSD_160643,0.380466315
Mn1Pd2Sn1_ICSD_104945,0.311166637
Pt9Sc5Si7_ICSD_420356,0.469919169
Cu1Dy1Si1_ICSD_30766,0.891001367
Ge1Ru1Tb1_ICSD_85912,0.360937835
F1Ho1S1_ICSD_94475,0.797131066
Ho1Te2_ICSD_639765,0.306648015
In1Pt2Tb1_ICSD_640312,0.263425379
Rh5Tb1_ICSD_105944,0.784497471
Mn1Pd1Te1_ICSD_40908,0.196101539
Al1Rh1_ICSD_58151,1.400551804
Ba1Ce1N2_ICSD_74791,0.707245611
Ga1In1Te2_ICSD_600687,0.207149453
As1Pu1_ICSD_44048,0.153711231
C1_ICSD_66468,2.0204773
B2Mo2Ru1_ICSD_601573,0.987946321
Al2Fe3Si4_ICSD_83665,0.917577448
Ba1Te2_ICSD_75555,0.165173076
Dy3Ge4_ICSD_84342,0.512904422
Ni1Sc6Te2_ICSD_90082,0.549548854
Ru2Sc1_ICSD_150514,0.05923388
Ge2Th3_ICSD_44503,0.535776261
Ba1Ce1O3_ICSD_165826,0.446453282
Ba1Si2_ICSD_2218,0.397705426
In1Rb1Te2_ICSD_75346,-0.010771836
As1Nb1_ICSD_16585,1.174193595
Ge1Nb1Rh1_ICSD_637230,0.78335608
B2Nb1Ni1_ICSD_614910,1.19180021
P1V1_ICSD_42444,1.251672281
Ho1Rh1Sn1_ICSD_411821,0.399547394
C1Nb4Rh2_ICSD_618493,0.270415618
Dy1Ni2Si2_ICSD_630020,0.974599188
Cu2Ho1In1_ICSD_102979,0.539206619
Bi1Dy1_ICSD_58778,0.806347552
F3Na1V1_ICSD_60611,0.421501921
Cl1Na1O3_ICSD_1117,0.361246068
Cs3O3Sb1_ICSD_279580,-0.464703348
Ho1Ni2Si2_ICSD_56232,0.953938397
Al6Mn1_ICSD_150135,0.818252954
Pt2Si1_ICSD_649614,0.044582874
As2Ba1Cu2_ICSD_236307,0.400928075
Ca1Mg1Si1_ICSD_158276,0.715774444
In1Na5O4_ICSD_69630,0.123502106
In1Te1_ICSD_169419,0.311938132
Dy1Ga3Ru1_ICSD_629734,0.468568853
Ge13Ru4Y3_ICSD_53900,0.188461612
S4Tl3V1_ICSD_16572,0.120718672
Ge1Os1Sc1_ICSD_637470,0.953816209
Sn1_ICSD_40039,0.474366347
Ge1Pt1Zr1_ICSD_260793,0.659533054
Bi1Nb3_ICSD_58817,0.718915856
In1Ni1_ICSD_59432,0.717119382
Bi1Pd1Se1_ICSD_616956,-0.084215644
Dy1In1Rh1_ICSD_103209,0.213480568
C2La1_ICSD_26587,1.011358954
Ag1Zr1_ICSD_163155,0.640886722
B2Zr1_ICSD_169458,1.946487145
Au1Ge4Rb3_ICSD_413724,-0.26490754
F2V1_ICSD_201245,0.499483631
H2Y1_ICSD_164604,1.159882874
Cu2O3Sr1_ICSD_416902,0.728172721
Er1Os2Si2_ICSD_103276,1.062724845
O6Se2Sn1_ICSD_154716,0.241601262
As1Mg1Na1_ICSD_402339,0.486454566
Ce1Co1Si2_ICSD_16501,0.878537306
K1Nb1S2_ICSD_26286,0.868495142
Mg1Si1Sr1_ICSD_42457,0.551690257
Dy1Rh1_ICSD_103359,0.83432913
Pt1Sb2Zr6_ICSD_157366,0.77211845
Hf1Re2_ICSD_150512,0.510945609
As1F6Na1_ICSD_184564,0.386240274
Al3Ir1_ICSD_57929,0.559340357
Pt2Si2Th1_ICSD_649630,0.631321987
Pd1Sr1_ICSD_648963,0.355777071
Ga7Ni3_ICSD_408313,0.217059971
La1N1_ICSD_162195,0.639061948
Ir1Mn3Si1_ICSD_151748,0.334805468
Ir2Th1_ICSD_104571,0.78006372
Pd1Th1_ICSD_105716,0.038353861
O2Re1_ICSD_154021,1.133781535
B7Mo3Y1_ICSD_39873,0.997919095
Ag2Ca1Ge2_ICSD_25316,0.24095091
In2Rh1Yb1_ICSD_152048,0.18792099
Ag1Al1S2_ICSD_25356,0.702734608
Ge13Lu3Rh4_ICSD_636932,0.16262414
O7Ru2Y2_ICSD_73799,0.677688147
B1Co1W1_ICSD_613388,1.203264123
In1Li2Pt1_ICSD_106805,0.126141152
Au1Cu3_ICSD_150666,0.480354814
Pt1Sn1Sr1_ICSD_412012,0.008071885
Os2Tb1_ICSD_647822,0.237325028
Ba1O3Pr1_ICSD_163755,0.847261015
